=====================================================================
Independent check of Snellman (2000), Section 4, via real resolutions
=====================================================================

 n   r  dim A_n  betti(I_n) from resolution        from eqn (30)   ok?
2  1   2      {1}   {1}   yes
3  2   3      {3, 2}   {3, 2}   yes
4  2   4      {3, 2}   {3, 2}   yes
5  3   5      {6, 8, 3}   {6, 8, 3}   yes
6  3   6      {6, 8, 3}   {6, 8, 3}   yes
7  4   7      {10, 20, 15, 4}   {10, 20, 15, 4}   yes
8  4   8      {10, 20, 15, 4}   {10, 20, 15, 4}   yes
9  4   9      {11, 23, 18, 5}   {11, 23, 18, 5}   yes
10  4   10      {11, 23, 18, 5}   {11, 23, 18, 5}   yes
11  5   11      {16, 44, 51, 28, 6}   {16, 44, 51, 28, 6}   yes
12  5   12      {16, 44, 51, 28, 6}   {16, 44, 51, 28, 6}   yes
13  6   13      {22, 75, 115, 94, 40, 7}   {22, 75, 115, 94, 40, 7}   yes
14  6   14      {22, 75, 115, 94, 40, 7}   {22, 75, 115, 94, 40, 7}   yes
15  6   15      {23, 80, 125, 104, 45, 8}   {23, 80, 125, 104, 45, 8}   yes
16  6   16      {23, 80, 125, 104, 45, 8}   {23, 80, 125, 104, 45, 8}   yes
17  7   17      {30, 124, 240, 264, 170, 60, 9}   {30, 124, 240, 264, 170, 60, 9}   yes
18  7   18      {30, 124, 240, 264, 170, 60, 9}   {30, 124, 240, 264, 170, 60, 9}   yes
19  8   19      {38, 182, 420, 574, 490, 258, 77, 10}   {38, 182, 420, 574, 490, 258, 77, 10}   yes
20  8   20      {38, 182, 420, 574, 490, 258, 77, 10}   {38, 182, 420, 574, 490, 258, 77, 10}   yes
21  8   21      {39, 189, 441, 609, 525, 279, 84, 11}   {39, 189, 441, 609, 525, 279, 84, 11}   yes
22  8   22      {39, 189, 441, 609, 525, 279, 84, 11}   {39, 189, 441, 609, 525, 279, 84, 11}   yes
23  9   23      {48, 264, 714, 1176, 1260, 888, 399, 104, 12}   {48, 264, 714, 1176, 1260, 888, 399, 104, 12}   yes
24  9   24      {48, 264, 714, 1176, 1260, 888, 399, 104, 12}   {48, 264, 714, 1176, 1260, 888, 399, 104, 12}   yes
25  9   25      {50, 279, 763, 1267, 1365, 965, 434, 113, 13}   {50, 279, 763, 1267, 1365, 965, 434, 113, 13}   yes
26  9   26      {50, 279, 763, 1267, 1365, 965, 434, 113, 13}   {50, 279, 763, 1267, 1365, 965, 434, 113, 13}   yes
27  9   27      {51, 287, 791, 1323, 1435, 1021, 462, 121, 14}   {51, 287, 791, 1323, 1435, 1021, 462, 121, 14}   yes
28  9   28      {51, 287, 791, 1323, 1435, 1021, 462, 121, 14}   {51, 287, 791, 1323, 1435, 1021, 462, 121, 14}   yes
29  10   29      {61, 383, 1198, 2324, 3010, 2666, 1603, 628, 145, 15}   {61, 383, 1198, 2324, 3010, 2666, 1603, 628, 145, 15}   yes
30  10   30      {61, 383, 1198, 2324, 3010, 2666, 1603, 628, 145, 15}   {61, 383, 1198, 2324, 3010, 2666, 1603, 628, 145, 15}   yes
31  11   31      {72, 499, 1746, 3852, 5796, 6138, 4599, 2396, 828, 171, 16}   {72, 499, 1746, 3852, 5796, 6138, 4599, 2396, 828, 171, 16}   yes
32  11   32      {72, 499, 1746, 3852, 5796, 6138, 4599, 2396, 828, 171, 16}   {72, 499, 1746, 3852, 5796, 6138, 4599, 2396, 828, 171, 16}   yes
33  11   33      {73, 509, 1791, 3972, 6006, 6390, 4809, 2516, 873, 181, 17}   {73, 509, 1791, 3972, 6006, 6390, 4809, 2516, 873, 181, 17}   yes
34  11   34      {73, 509, 1791, 3972, 6006, 6390, 4809, 2516, 873, 181, 17}   {73, 509, 1791, 3972, 6006, 6390, 4809, 2516, 873, 181, 17}   yes
35  11   35      {75, 528, 1872, 4176, 6342, 6768, 5103, 2672, 927, 192, 18}   {75, 528, 1872, 4176, 6342, 6768, 5103, 2672, 927, 192, 18}   yes
36  11   36      {75, 528, 1872, 4176, 6342, 6768, 5103, 2672, 927, 192, 18}   {75, 528, 1872, 4176, 6342, 6768, 5103, 2672, 927, 192, 18}   yes
37  12   37      {87, 669, 2620, 6543, 11310, 14034, 12663, 8270, 3819, 1185, 222, 19}   {87, 669, 2620, 6543, 11310, 14034, 12663, 8270, 3819, 1185, 222, 19}   yes
38  12   38      {87, 669, 2620, 6543, 11310, 14034, 12663, 8270, 3819, 1185, 222, 19}   {87, 669, 2620, 6543, 11310, 14034, 12663, 8270, 3819, 1185, 222, 19}   yes
39  12   39      {88, 680, 2675, 6708, 11640, 14496, 13125, 8600, 3984, 1240, 233, 20}   {88, 680, 2675, 6708, 11640, 14496, 13125, 8600, 3984, 1240, 233, 20}   yes
40  12   40      {88, 680, 2675, 6708, 11640, 14496, 13125, 8600, 3984, 1240, 233, 20}   {88, 680, 2675, 6708, 11640, 14496, 13125, 8600, 3984, 1240, 233, 20}   yes

ALL CHECKS PASSED -- equation (30) and Prop 2.4 confirmed against genuine minimal free resolutions.

[exited with code 0]
